iter	Passed	Remaining
493	608	623
494	609	621
495	610	620
496	611	619
497	612	617
498	613	616
499	615	615
500	618	615
501	619	614
502	619	612
503	620	610
504	621	608
505	623	609
506	624	607
507	626	606
508	626	604
509	630	605
510	632	605
511	634	604
512	635	603
513	636	601
514	637	600
515	638	598
516	639	596
517	640	595
518	641	594
519	642	593
520	644	592
521	645	590
522	646	589
523	646	587
524	647	586
525	648	584
526	649	583
527	651	581
528	651	580
529	652	578
530	653	577
531	654	576
532	657	576
533	660	576
534	660	574
535	661	572
536	662	571
537	663	569
538	664	568
539	665	566
540	666	565
541	666	563
542	667	562
543	668	560
544	670	559
545	671	558
546	672	556
547	673	555
548	674	554
549	675	552
550	676	551
551	677	549
552	678	548
553	678	546
554	680	545
555	680	543
556	681	542
557	684	541
558	685	540
559	686	539
560	687	537
561	688	536
562	688	534
563	689	533
564	690	531
565	691	530
566	692	528
567	693	527
568	694	525
569	695	524
570	696	523
571	697	522
572	698	520
573	700	519
574	700	518
575	701	516
576	702	515
577	703	513
578	704	512
579	705	510
580	706	509
581	707	508
582	708	506
583	708	505
584	709	503
585	711	502
586	714	502
587	714	500
588	715	499
589	716	497
590	716	495
591	717	494
592	718	493
593	719	491
594	719	489
595	720	488
596	721	486
597	721	485
598	725	485
599	726	484
600	726	482
601	727	480
602	728	479
603	728	477
604	729	476
605	730	474
606	731	473
607	731	471
608	732	470
609	733	468
610	733	467
611	734	465
612	735	464
613	740	465
614	740	463
615	741	462
616	742	460
617	743	459
618	743	457
619	744	456
620	745	455
621	746	453
622	746	452
623	747	450
624	748	448
625	748	447
626	749	445
627	755	447
628	756	446
629	757	444
630	757	443
631	758	441
632	758	440
633	759	438
634	760	437
635	761	435
636	762	434
637	763	432
638	763	431
639	764	429
640	765	428
641	769	429
642	770	427
643	771	426
644	771	424
645	772	423
646	773	421
647	773	420
648	774	418
649	776	417
650	776	416
651	777	414
652	778	413
653	778	411
654	784	413
655	785	411
656	785	410
657	786	408
658	787	407
659	787	405
660	788	404
661	789	402
662	790	401
663	791	400
664	791	398
665	792	397
666	793	395
667	794	394
668	799	395
669	800	394
670	800	392
671	801	391
672	802	389
673	802	388
674	803	386
675	805	385
676	805	384
677	806	382
678	806	381
679	807	380
680	808	378
681	812	378
682	813	377
683	814	376
684	814	374
685	815	373
686	815	371
687	816	370
688	817	368
689	818	367
690	819	366
691	820	365
692	821	363
693	821	362
694	822	360
695	823	359
696	824	358
697	825	357
698	826	355
699	826	354
700	827	352
701	828	351
702	828	350
703	830	349
704	830	347
705	831	346
706	831	344
707	832	343
708	833	341
709	837	342
710	840	341
711	840	340
712	841	338
713	842	337
714	842	336
715	843	334
716	845	333
717	846	332
718	852	333
719	853	332
720	854	330
721	855	329
722	855	327
723	856	326
724	857	325
725	858	324
726	859	322
727	860	321
728	861	320
729	861	318
730	866	318
731	867	317
732	868	316
733	868	314
734	869	313
735	870	312
736	870	310
737	872	309
738	872	308
739	873	306
740	873	305
741	874	304
742	875	302
743	875	301
744	880	301
745	881	300
746	882	298
747	883	297
748	883	296
749	884	294
750	885	293
751	886	292
752	886	290
753	887	289
754	888	288
755	888	286
756	889	285
757	891	284
758	895	284
759	896	283
760	897	281
761	898	280
762	899	279
763	899	277
764	900	276
765	901	275
766	901	273
767	902	272
768	903	271
769	904	270
770	904	268
771	905	267
772	910	267
773	911	266
774	912	264
775	912	263
776	913	262
777	914	260
778	914	259
779	915	258
780	917	257
781	917	255
782	918	254
783	919	253
784	919	251
785	928	252
786	929	251
787	930	250
788	930	248
789	931	247
790	933	246
791	934	245
792	934	244
793	940	244
794	941	242
795	941	241
796	942	240
797	943	238
798	944	237
799	945	236
800	946	235
801	947	233
802	948	232
803	948	231
804	949	230
805	950	228
806	951	227
807	952	226
808	953	225
809	954	223
810	954	222
811	956	221
812	956	220
813	957	218
814	958	217
815	965	217
816	966	216
817	967	215
818	968	213
819	969	212
820	971	211
821	972	210
822	978	210
823	979	209
824	981	208
825	982	206
826	982	205
827	983	204
828	984	203
829	985	201
830	991	201
831	992	200
832	993	199
833	994	197
834	995	196
835	996	195
836	997	194
837	998	192
838	1004	192
839	1005	191
840	1006	190
841	1007	189
842	1008	187
843	1010	186
844	1011	185
845	1012	184
846	1012	182
847	1013	181
848	1015	180
849	1016	179
850	1017	178
851	1018	176
852	1018	175
853	1020	174
854	1021	173
855	1022	171
856	1023	170
857	1024	169
858	1030	169
859	1030	167
860	1031	166
861	1032	165
862	1033	164
863	1035	163
864	1036	161
865	1037	160
866	1038	159
867	1047	159
868	1048	158
869	1048	156
870	1049	155
871	1050	154
872	1050	152
873	1052	151
874	1053	150
875	1055	149
876	1060	148
877	1061	147
878	1061	146
879	1062	144
880	1063	143
881	1063	142
882	1064	141
883	1065	139
884	1066	138
885	1067	137
886	1067	136
887	1069	134
888	1070	133
889	1071	132
890	1072	131
891	1073	129
892	1073	128
893	1074	127
894	1075	126
895	1076	125
896	1077	123
897	1078	122
898	1079	121
899	1082	120
900	1084	119
901	1084	117
902	1085	116
903	1086	115
904	1086	114
905	1087	112
906	1088	111
907	1088	110
908	1089	109
909	1090	107
910	1090	106
911	1091	105
912	1094	104
913	1095	103
914	1095	101
915	1096	100
916	1097	99
917	1097	98
918	1098	96
919	1099	95
920	1099	94
921	1100	93
922	1101	91
923	1102	90
924	1102	89
925	1103	88
926	1104	87
927	1106	85
928	1107	84
929	1108	83
930	1109	82
931	1110	81
932	1110	79
933	1111	78
934	1112	77
935	1112	76
936	1113	74
937	1114	73
938	1115	72
939	1115	71
940	1116	70
941	1117	68
942	1119	67
943	1120	66
944	1121	65
945	1121	64
946	1122	62
947	1122	61
948	1123	60
949	1124	59
950	1125	57
951	1126	56
952	1126	55
953	1127	54
954	1128	53
955	1133	52
956	1133	50
957	1134	49
958	1134	48
959	1135	47
960	1136	46
961	1136	44
962	1138	43
963	1139	42
964	1139	41
965	1140	40
966	1140	38
967	1141	37
968	1142	36
969	1142	35
970	1145	34
971	1148	33
972	1149	31
973	1150	30
974	1150	29
975	1151	28
976	1152	27
977	1153	25
978	1154	24
979	1154	23
980	1155	22
981	1156	21
982	1156	20
983	1162	18
984	1163	17
985	1164	16
986	1164	15
987	1165	14
988	1166	12
989	1166	11
990	1167	10
991	1168	9
992	1169	8
993	1169	7
994	1170	5
995	1171	4
996	1171	3
997	1175	2
998	1175	1
999	1176	0
